RunNumber,BeamEnergy,Threshold,GearGeoFile
1134,4.8,20,alignedGear-check-iter17-sync001171.xml
1135,4.8,20,alignedGear-check-iter17-sync001171.xml
1136,4.8,20,alignedGear-check-iter17-sync001171.xml
1137,4.8,20,alignedGear-check-iter17-sync001171.xml
1138,4.8,20,alignedGear-check-iter17-sync001171.xml
1139,4.8,20,alignedGear-check-iter17-sync001171.xml
1140,4.8,20,alignedGear-check-iter17-sync001171.xml
1141,4.8,30,alignedGear-check-iter17-sync001171.xml
1142,4.8,30,alignedGear-check-iter17-sync001171.xml
1143,4.8,30,alignedGear-check-iter17-sync001171.xml
1144,4.8,30,alignedGear-check-iter17-sync001171.xml
1145,4.8,30,alignedGear-check-iter17-sync001171.xml
1146,4.8,30,alignedGear-check-iter17-sync001171.xml
1147,4.8,45,alignedGear-check-iter17-sync001171.xml
1148,4.8,45,alignedGear-check-iter17-sync001171.xml
1149,4.8,45,alignedGear-check-iter17-sync001171.xml
1150,4.8,45,alignedGear-check-iter17-sync001171.xml
1151,4.8,45,alignedGear-check-iter17-sync001171.xml
1152,4.8,60,alignedGear-check-iter17-sync001171.xml
1153,4.8,60,alignedGear-check-iter17-sync001171.xml
1154,4.8,60,alignedGear-check-iter17-sync001171.xml
1155,4.8,60,alignedGear-check-iter17-sync001171.xml
1156,4.8,60,alignedGear-check-iter17-sync001171.xml
1157,4.8,60,alignedGear-check-iter17-sync001171.xml
1158,4.8,75,alignedGear-check-iter17-sync001171.xml
1159,4.8,75,alignedGear-check-iter17-sync001171.xml
1160,4.8,75,alignedGear-check-iter17-sync001171.xml
1161,4.8,75,alignedGear-check-iter17-sync001171.xml
1162,4.8,75,alignedGear-check-iter17-sync001171.xml
1163,4.8,85,alignedGear-check-iter17-sync001171.xml
1164,4.8,85,alignedGear-check-iter17-sync001171.xml
1165,4.8,85,alignedGear-check-iter17-sync001171.xml
1166,4.8,85,alignedGear-check-iter17-sync001171.xml
1167,4.8,95,alignedGear-check-iter17-sync001171.xml
1168,4.8,95,alignedGear-check-iter17-sync001171.xml
1169,4.8,95,alignedGear-check-iter17-sync001171.xml
1170,4.8,95,alignedGear-check-iter17-sync001171.xml
1171,4.8,105,alignedGear-check-iter17-sync001171.xml
1172,4.8,105,alignedGear-check-iter17-sync001171.xml
1173,4.8,105,alignedGear-check-iter17-sync001171.xml
1174,4.8,105,alignedGear-check-iter17-sync001171.xml
1175,4.8,105,alignedGear-check-iter17-sync001171.xml
1176,4.8,115,alignedGear-check-iter17-sync001171.xml
1177,4.8,115,alignedGear-check-iter17-sync001171.xml
1178,4.8,115,alignedGear-check-iter17-sync001171.xml
1179,4.8,115,alignedGear-check-iter17-sync001171.xml
1180,4.8,115,alignedGear-check-iter17-sync001171.xml
1181,4.8,125,alignedGear-check-iter17-sync001171.xml
1182,4.8,125,alignedGear-check-iter17-sync001171.xml
1183,4.8,125,alignedGear-check-iter17-sync001171.xml
1184,4.8,125,alignedGear-check-iter17-sync001171.xml
1185,4.8,125,alignedGear-check-iter17-sync001171.xml
1186,4.8,135,alignedGear-check-iter17-sync001171.xml
1187,4.8,135,alignedGear-check-iter17-sync001171.xml
1188,4.8,135,alignedGear-check-iter17-sync001171.xml
1189,4.8,135,alignedGear-check-iter17-sync001171.xml
1190,4.8,135,alignedGear-check-iter17-sync001171.xml
1191,4.8,150,alignedGear-check-iter17-sync001171.xml
1192,4.8,150,alignedGear-check-iter17-sync001171.xml
1193,4.8,150,alignedGear-check-iter17-sync001171.xml
1194,4.8,150,alignedGear-check-iter17-sync001171.xml
1195,4.8,150,alignedGear-check-iter17-sync001171.xml
1196,4.8,150,alignedGear-check-iter17-sync001171.xml
1197,4.8,165,alignedGear-check-iter17-sync001171.xml
1198,4.8,165,alignedGear-check-iter17-sync001171.xml
1199,4.8,165,alignedGear-check-iter17-sync001171.xml
